1.970000000000000000e+02,1.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00,7.268343093351704587e-01,7.268343093351704587e-01,7.268343093351704587e-01,7.268343093351704587e-01,7.268343093351704587e-01,6.039763028416507140e-01,6.039763028416507140e-01,6.039763028416507140e-01,6.039763028416507140e-01,6.039763028416507140e-01,5.193606697745218881e-01,5.193606697745218881e-01,5.193606697745218881e-01,5.193606697745218881e-01,5.193606697745218881e-01,4.509590037269339269e-01,4.509590037269339269e-01,4.509590037269339269e-01,4.509590037269339269e-01,4.509590037269339269e-01
2.960000000000000000e+02,1.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00,6.269322882647506701e-01,6.269322882647506701e-01,6.269322882647506701e-01,6.269322882647506701e-01,6.269322882647506701e-01,4.849414389291689664e-01,4.849414389291689664e-01,4.849414389291689664e-01,4.849414389291689664e-01,4.849414389291689664e-01,3.929350196249454807e-01,3.929350196249454807e-01,3.929350196249454807e-01,3.929350196249454807e-01,3.929350196249454807e-01,3.220142454861686376e-01,3.220142454861686376e-01,3.220142454861686376e-01,3.220142454861686376e-01,3.220142454861686376e-01
3.960000000000000000e+02,1.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00,5.494018151815182049e-01,5.494018151815182049e-01,5.494018151815182049e-01,5.494018151815182049e-01,5.494018151815182049e-01,3.841421143847487119e-01,3.841421143847487119e-01,3.841421143847487119e-01,3.841421143847487119e-01,3.841421143847487119e-01,2.896713235887911075e-01,2.896713235887911075e-01,2.896713235887911075e-01,2.896713235887911075e-01,2.896713235887911075e-01,2.221116300436413726e-01,2.221116300436413726e-01,2.221116300436413726e-01,2.221116300436413726e-01,2.221116300436413726e-01
4.890000000000000000e+02,1.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00,4.812813206249386133e-01,4.812813206249386133e-01,4.812813206249386133e-01,4.812813206249386133e-01,4.812813206249386133e-01,3.155683690280066123e-01,3.155683690280066123e-01,3.155683690280066123e-01,3.155683690280066123e-01,3.155683690280066123e-01,2.291233741245286004e-01,2.291233741245286004e-01,2.291233741245286004e-01,2.291233741245286004e-01,2.291233741245286004e-01,1.698057896665445266e-01,1.698057896665445266e-01,1.698057896665445266e-01,1.698057896665445266e-01,1.698057896665445266e-01
5.840000000000000000e+02,1.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00,4.349690328727965904e-01,4.349690328727965904e-01,4.349690328727965904e-01,4.349690328727965904e-01,4.349690328727965904e-01,2.647245091830272568e-01,2.647245091830272568e-01,2.647245091830272568e-01,2.647245091830272568e-01,2.647245091830272568e-01,1.818249093465551802e-01,1.818249093465551802e-01,1.818249093465551802e-01,1.818249093465551802e-01,1.818249093465551802e-01,1.277377419810654113e-01,1.277377419810654113e-01,1.277377419810654113e-01,1.277377419810654113e-01,1.277377419810654113e-01
6.810000000000000000e+02,1.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00,3.788445742447750231e-01,3.788445742447750231e-01,3.788445742447750231e-01,3.788445742447750231e-01,3.788445742447750231e-01,2.097372605436511050e-01,2.097372605436511050e-01,2.097372605436511050e-01,2.097372605436511050e-01,2.097372605436511050e-01,1.362504446816079628e-01,1.362504446816079628e-01,1.362504446816079628e-01,1.362504446816079628e-01,1.362504446816079628e-01,9.261414196728044723e-02,9.261414196728044723e-02,9.261414196728044723e-02,9.261414196728044723e-02,9.261414196728044723e-02
7.730000000000000000e+02,1.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00,3.481633380884450735e-01,3.481633380884450735e-01,3.481633380884450735e-01,3.481633380884450735e-01,3.481633380884450735e-01,1.820065108020124389e-01,1.820065108020124389e-01,1.820065108020124389e-01,1.820065108020124389e-01,1.820065108020124389e-01,1.127369007803790402e-01,1.127369007803790402e-01,1.127369007803790402e-01,1.127369007803790402e-01,1.127369007803790402e-01,7.091580006709158335e-02,7.091580006709158335e-02,7.091580006709158335e-02,7.091580006709158335e-02,7.091580006709158335e-02
8.660000000000000000e+02,1.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00,3.072514112027789901e-01,3.072514112027789901e-01,3.072514112027789901e-01,3.072514112027789901e-01,3.072514112027789901e-01,1.494567172771101571e-01,1.494567172771101571e-01,1.494567172771101571e-01,1.494567172771101571e-01,1.494567172771101571e-01,9.017680387739777925e-02,9.017680387739777925e-02,9.017680387739777925e-02,9.017680387739777925e-02,9.017680387739777925e-02,5.429326287978863963e-02,5.429326287978863963e-02,5.429326287978863963e-02,5.429326287978863963e-02,5.429326287978863963e-02
9.660000000000000000e+02,1.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00,2.707982485685416219e-01,2.707982485685416219e-01,2.707982485685416219e-01,2.707982485685416219e-01,2.707982485685416219e-01,1.241908246552209383e-01,1.241908246552209383e-01,1.241908246552209383e-01,1.241908246552209383e-01,1.241908246552209383e-01,7.332482021641238690e-02,7.332482021641238690e-02,7.332482021641238690e-02,7.332482021641238690e-02,7.332482021641238690e-02,4.613972997771660645e-02,4.613972997771660645e-02,4.613972997771660645e-02,4.613972997771660645e-02,4.613972997771660645e-02
1.090000000000000000e+02,1.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00,8.939337085678549233e-01,8.939337085678549233e-01,8.939337085678549233e-01,8.939337085678549233e-01,8.939337085678549233e-01,8.342135476463834465e-01,8.342135476463834465e-01,8.342135476463834465e-01,8.342135476463834465e-01,8.342135476463834465e-01,7.867531886328037460e-01,7.867531886328037460e-01,7.867531886328037460e-01,7.867531886328037460e-01,7.867531886328037460e-01,7.446715488031478980e-01,7.446715488031478980e-01,7.446715488031478980e-01,7.446715488031478980e-01,7.446715488031478980e-01
