2.348612022718641126e-02,2.226216189385307742e-02,9.333556055213042546e-01,1.681233259877067468e-02
2.189757856051974261e-02,2.306914718797072397e-02,9.489806055213042546e-01,1.681233259877067468e-02
2.135610352927218639e-02,1.957956385463738985e-02,9.567931055213042546e-01,1.681233259877067468e-02
2.047800135463739152e-02,1.785221879707251356e-04,9.606993555213042546e-01,1.681233259877067468e-02
1.985300135463739096e-02,4.823920638546373429e-01,9.626524805213042546e-01,1.681233259877067468e-02
3.760494816178281546e-02,3.140103812348587348e-02,4.169266304799344736e-02,2.724872967390911879e-03
3.328368055542938603e-02,2.566857137506073014e-02,5.197768502392243611e-02,2.724872967390911879e-03
3.024552795673675007e-02,1.990133533654910025e-02,5.861926637946712759e-02,2.724872967390911879e-03
3.236262609307172938e-02,1.766625379062273724e-02,6.227941688681545851e-02,2.724872967390911879e-03
3.090545496239276504e-02,1.598020963248862267e-02,6.415737651868259894e-02,2.724872967390911879e-03
2.362981885657234726e-03,2.640124667967282384e-03,3.045418339095184307e-02,2.583770140434383730e-03
2.238687135264022261e-03,1.775246907559084814e-03,1.612750295316889293e-02,2.583770140434383730e-03
1.781264122314543110e-03,1.623603634177407141e-03,9.103275271454408513e-03,2.583770140434383730e-03
1.882674058127444027e-03,1.110528093582425612e-03,5.639733604787741661e-03,2.583770140434383730e-03
1.762063486625947781e-03,8.448820558876023049e-04,3.907962771454406500e-03,2.583770140434383730e-03
7.861775282438844981e-04,1.206706636678877469e-03,3.049209364954208468e-02,2.432088061841696045e-03
8.613075937400320329e-04,4.834046956825750188e-04,1.540143640788530291e-02,2.432088061841696045e-03
4.767085345695085087e-04,5.583604466228948501e-04,8.118608733883187975e-03,2.432088061841696045e-03
6.947494463675005097e-04,3.845757973342570058e-04,4.596122345093467051e-03,2.432088061841696045e-03
