len_x	len_y	TJ	J1	J2	J3	J4	trueED	TED[0]	TED[1]	TED[2]	ED1[0]	ED1[1]	ED1[2]	ED2[0]	ED2[1]	ED2[2]	ED3[0]	ED3[1]	ED3[2]	ED4[0]	ED4[1]	ED4[2]
8001	8001	0.603976303	0.546875	0.6328125	0.0078125	0.600498583	197	0	6923.112278	164.6213848	0	6022.258065	195.3106061	0	7406.64	149.9389952	0	62.75294118	656.4127907	0	6866.144052	166.4278697
8001	8001	0.484941439	0.3828125	0.4765625	0.0078125	0.48701122	296	0	5121.935947	231.2652113	0	3787.913043	297.5889831	0	5005.753846	236.3611111	0	62.75294118	656.4127907	0	5150.833665	230.0152577
8001	8001	0.384142114	0.296875	0.34375	0.0078125	0.377271082	396	0	3804.197244	296.6626338	0	2789.33945	361.4909639	0	3321.169811	325.622093	0	62.75294118	656.4127907	0	3720.332946	301.4689783
8001	8001	0.315568369	0.1640625	0.3046875	0.0078125	0.318755977	489	0	2997.880679	346.88033	0	1429.965957	478.807047	0	2875.935484	355.3338323	0	62.75294118	656.4127907	0	3033.904111	344.4302508
8001	8001	0.264724509	0.0625	0.25	0.0078125	0.261338834	584	0	2441.181022	387.6298197	0	516.1935484	588.3088235	0	2286	400.05	0	62.75294118	656.4127907	0	2405.266822	390.4599774
8001	8001	0.209737261	0.140625	0.1875	0.0078125	0.198013443	681	0	1874.705634	435.5554704	0	1210.235294	502.3458904	0	1655.37931	456.1973684	0	62.75294118	656.4127907	0	1758.398866	446.3426849
8001	8001	0.182006511	0.109375	0.203125	0.0078125	0.190053011	773	0	1602.023441	461.4163746	0	925.7355372	535.278169	0	1808.921739	441.6136364	0	62.75294118	656.4127907	0	1680.285827	453.7883191
8001	8001	0.149456717	0.046875	0.1328125	0.0078125	0.14961129	866	0	1292.380682	493.3632778	0	384.048	607.0410448	0	1138.217573	510.4086207	0	62.75294118	656.4127907	0	1293.825375	493.2072928
8001	8001	0.124190825	0.0625	0.15625	0.0078125	0.12415382	966	0	1059.436963	519.4365181	0	516.1935484	588.3088235	0	1356.101695	486.5472973	0	62.75294118	656.4127907	0	1059.100392	519.4755649
8001	8001	0.834213548	0.7109375	0.796875	0.0078125	0.830602265	109	0	11450.71223	60.26458438	0	8825.345455	112.6472603	0	10598.72727	75.37173913	0	62.75294118	656.4127907	0	11365.93397	61.6987874
