indexID 	 len(seq1) 	 len(seq2) 	 edit_distance 
(276, 277) 	 17795 	 1720 	 16075 
(278, 279) 	 2802 	 9318 	 6568 
(280, 281) 	 11214 	 5423 	 6571 
(282, 283) 	 26784 	 2176 	 24608 
(284, 285) 	 3400 	 3998 	 2017 
(286, 287) 	 3808 	 12235 	 8503 
(288, 289) 	 11962 	 567 	 11395 
(290, 291) 	 3447 	 9563 	 6304 
(292, 293) 	 4619 	 9313 	 5403 
(294, 295) 	 24333 	 7691 	 16854 
(296, 297) 	 1293 	 30484 	 29191 
(298, 299) 	 484 	 19103 	 18619 
(300, 301) 	 3268 	 309 	 2959 
(302, 303) 	 565 	 11023 	 10458 
(304, 305) 	 24136 	 1172 	 22964 
(306, 307) 	 1876 	 1795 	 980 
(308, 309) 	 4300 	 19062 	 14762 
(310, 311) 	 2887 	 4261 	 2200 
(312, 313) 	 20721 	 21053 	 10863 
(314, 315) 	 7959 	 3371 	 4928 
(316, 317) 	 3351 	 5080 	 2680 
(318, 319) 	 12136 	 24133 	 14002 
(320, 321) 	 3211 	 3219 	 545 
(322, 323) 	 20340 	 20152 	 10508 
(324, 325) 	 2243 	 8346 	 6121 
(326, 327) 	 8411 	 22899 	 15021 
(328, 329) 	 1411 	 6710 	 5299 
(330, 331) 	 5649 	 6808 	 3418 
(332, 333) 	 4901 	 4775 	 2519 
(334, 335) 	 4028 	 8135 	 4716 
(336, 337) 	 476 	 2487 	 2011 
(338, 339) 	 2451 	 3448 	 1741 
(340, 341) 	 2568 	 5144 	 2966 
(342, 343) 	 5005 	 5044 	 2586 
(344, 345) 	 4935 	 10521 	 6248 
(346, 347) 	 13099 	 10757 	 6555 
(348, 349) 	 1881 	 2473 	 1260 
(350, 351) 	 716 	 9285 	 8569 
(352, 353) 	 13308 	 9193 	 6771 
(354, 355) 	 16736 	 2837 	 13899 
(356, 357) 	 2751 	 11770 	 9019 
(358, 359) 	 928 	 8832 	 7904 
(360, 361) 	 10488 	 6969 	 5399 
(362, 363) 	 77 	 5090 	 5013 
(364, 365) 	 8019 	 12548 	 6605 
(366, 367) 	 11846 	 19719 	 10646 
(368, 369) 	 5204 	 3671 	 2713 
(370, 371) 	 4643 	 4033 	 2325 
(372, 373) 	 3770 	 8185 	 4931 
(374, 375) 	 4423 	 5089 	 2563 
(376, 377) 	 13652 	 5010 	 8944 
(378, 379) 	 13919 	 7430 	 7893 
(380, 381) 	 2407 	 3919 	 2101 
(382, 383) 	 11209 	 9779 	 5606 
(384, 385) 	 3622 	 2583 	 1852 
(386, 387) 	 3641 	 1162 	 2514 
(388, 389) 	 1530 	 1820 	 926 
(390, 391) 	 1055 	 9495 	 8440 
(392, 393) 	 5112 	 23478 	 18366 
(394, 395) 	 12368 	 11483 	 6376 
(396, 397) 	 21975 	 759 	 21216 
(398, 399) 	 2309 	 1517 	 1193 
(400, 401) 	 6632 	 9696 	 5075 
(402, 403) 	 16728 	 6200 	 10930 
(404, 405) 	 1144 	 7082 	 5938 
(406, 407) 	 29191 	 2224 	 26967 
(408, 409) 	 3923 	 4430 	 2267 
(410, 411) 	 5458 	 16275 	 11049 
(412, 413) 	 1628 	 263 	 1365 
(414, 415) 	 23508 	 1154 	 22354 
(416, 417) 	 4892 	 2390 	 2847 
(418, 419) 	 2478 	 2349 	 549 
(420, 421) 	 1682 	 2314 	 1065 
(422, 423) 	 15549 	 6875 	 9498 
(424, 425) 	 17255 	 3224 	 14031 
(426, 427) 	 4095 	 4484 	 2272 
(428, 429) 	 3920 	 4269 	 2190 
(430, 431) 	 4277 	 5220 	 2612 
(432, 433) 	 17121 	 5852 	 11484 
(434, 435) 	 15045 	 32676 	 19549 
(436, 437) 	 2502 	 11026 	 8528 
(438, 439) 	 2714 	 238 	 2476 
(440, 441) 	 1629 	 2487 	 1315 
(442, 443) 	 17316 	 607 	 16709 
(444, 445) 	 5505 	 135 	 5370 
(446, 447) 	 6206 	 14715 	 9105 
(448, 449) 	 8430 	 6905 	 4190 
(450, 451) 	 8826 	 41343 	 32517 
(452, 453) 	 2308 	 19702 	 17394 
(454, 455) 	 3397 	 3915 	 1967 
(456, 457) 	 6115 	 1926 	 4239 
(458, 459) 	 24149 	 738 	 23411 
(460, 461) 	 6545 	 5039 	 3308 
(462, 463) 	 6225 	 22337 	 16166 
(464, 465) 	 1143 	 27611 	 26468 
(466, 467) 	 28664 	 16129 	 15855 
(468, 469) 	 14690 	 3022 	 11668 
(470, 471) 	 37777 	 3664 	 34113 
(472, 473) 	 3794 	 1098 	 2716 
(474, 475) 	 1801 	 8177 	 6376 
(476, 477) 	 3753 	 2819 	 1874 
(478, 479) 	 2740 	 2769 	 584 
(480, 481) 	 2680 	 2628 	 621 
(482, 483) 	 2614 	 6913 	 4480 
(484, 485) 	 16652 	 8598 	 9516 
(486, 487) 	 2799 	 9479 	 6713 
(488, 489) 	 16901 	 1042 	 15859 
(490, 491) 	 10822 	 11936 	 6010 
(492, 493) 	 2484 	 5536 	 3336 
(494, 495) 	 21151 	 23777 	 12028 
(496, 497) 	 2613 	 158 	 2455 
(498, 499) 	 966 	 11516 	 10550 
(500, 501) 	 8157 	 5286 	 4266 
(502, 503) 	 9218 	 4093 	 5609 
(504, 505) 	 13883 	 15612 	 7931 
(506, 507) 	 12745 	 6276 	 7421 
(508, 509) 	 5002 	 13810 	 9059 
(510, 511) 	 408 	 3812 	 3404 
(512, 513) 	 11897 	 4809 	 7497 
(514, 515) 	 7766 	 549 	 7217 
(516, 517) 	 15415 	 446 	 14969 
(518, 519) 	 10702 	 4057 	 6903 
(520, 521) 	 18299 	 12907 	 9271 
(522, 523) 	 26598 	 1235 	 25363 
(524, 525) 	 3129 	 16848 	 13719 
(526, 527) 	 11787 	 2802 	 8985 
(528, 529) 	 3676 	 1185 	 2549 
(530, 531) 	 10550 	 1807 	 8743 
(532, 533) 	 1730 	 1795 	 390 
(534, 535) 	 1702 	 2952 	 1615 
(536, 537) 	 2606 	 16737 	 14131 
(538, 539) 	 18278 	 18532 	 9535 
(540, 541) 	 6621 	 6877 	 3510 
(542, 543) 	 2343 	 475 	 1870 
(544, 545) 	 15708 	 1909 	 13799 
(546, 547) 	 17338 	 27580 	 14610 
(548, 549) 	 16661 	 15535 	 8474 
(550, 551) 	 10050 	 6994 	 5409 
(552, 553) 	 9577 	 11918 	 6343 
(554, 555) 	 1334 	 7242 	 5908 
(556, 557) 	 8974 	 8561 	 4601 
(558, 559) 	 1998 	 1876 	 332 
(560, 561) 	 6641 	 432 	 6209 
(562, 563) 	 6560 	 6580 	 3457 
(564, 565) 	 2847 	 5718 	 3283 
(566, 567) 	 9889 	 13755 	 7020 
(568, 569) 	 2722 	 3999 	 2058 
(570, 571) 	 353 	 1987 	 1634 
(572, 573) 	 2040 	 20667 	 18627 
(574, 575) 	 19472 	 8540 	 11849 
(576, 577) 	 19647 	 2225 	 17422 
(578, 579) 	 16518 	 12272 	 8267 
(580, 581) 	 24268 	 14800 	 12999 
(582, 583) 	 2057 	 6435 	 4430 
(584, 585) 	 2059 	 6613 	 4606 
(586, 587) 	 1750 	 2595 	 1372 
(588, 589) 	 3723 	 11912 	 8295 
(590, 591) 	 19715 	 5641 	 14139 
(592, 593) 	 8842 	 3375 	 5702 
(594, 595) 	 2241 	 4795 	 2899 
(596, 597) 	 4578 	 6907 	 3586 
(598, 599) 	 7746 	 1092 	 6654 
(600, 601) 	 4647 	 6592 	 3528 
