len_x	len_y	TJ	J1	J2	J3	J4	trueED	TED[0]	TED[1]	TED[2]	ED1[0]	ED1[1]	ED1[2]	ED2[0]	ED2[1]	ED2[2]	ED3[0]	ED3[1]	ED3[2]	ED4[0]	ED4[1]	ED4[2]
8001	8001	0.5193606697745219	0.3125	0.46875	0.0078125	0.5261796562521922	197.0	0.0	5612.987084752297	158.19134314339388	0.0	2963.333333333333	261.9375	0.0	4898.571428571428	180.87367021276594	0.0	62.752941176470586	492.3095930232558	0.0	5712.994053221151	155.25025816897357
8001	8001	0.3929350196249455	0.21875	0.3671875	0.0078125	0.39543440913614325	296.0	0.0	3912.5649932157394	217.9358171571697	0.0	1965.157894736842	320.55288461538464	0.0	3598.535885167464	231.4575	0.0	62.752941176470586	492.3095930232558	0.0	3943.58538599215	216.6497965092546
8001	8001	0.2896713235887911	0.1953125	0.265625	0.0078125	0.28891587829952986	396.0	0.0	2710.1928325227823	275.4257827175955	0.0	1731.8181818181818	336.64338235294116	0.0	2450.7567567567567	290.15972222222223	0.0	62.752941176470586	492.3095930232558	0.0	2701.931381348173	275.8803034352929
8001	8001	0.2291233741245286	0.15625	0.234375	0.0078125	0.22965938602592068	489.0	0.0	2070.405232735017	313.62717595491546	0.0	1356.1016949152543	364.91047297297297	0.0	2124.1592920353983	310.1653481012658	0.0	62.752941176470586	492.3095930232558	0.0	2075.8770748286015	313.27248639184774
8001	8001	0.18182490934655518	0.09375	0.1640625	0.0078125	0.1855419189977452	584.0	0.0	1600.2651308559568	346.1922980588604	0.0	786.983606557377	414.3375	0.0	1429.9659574468085	359.1052852348993	0.0	62.752941176470586	492.3095930232558	0.0	1636.3242661202207	343.53904961496744
8001	8001	0.13625044468160796	0.046875	0.1328125	0.0078125	0.13491581106952918	681.0	0.0	1169.8350830311128	380.1351753287414	0.0	384.048	455.28078358208955	0.0	1138.2175732217574	382.8064655172414	0.0	62.752941176470586	492.3095930232558	0.0	1157.5471078185678	381.1702665586894
8001	8001	0.11273690078037904	0.078125	0.09375	0.0078125	0.11701621686895225	773.0	0.0	955.8899800635015	398.7348700688791	0.0	650.4878048780488	427.5896739130435	0.0	786.983606557377	414.3375	0.0	62.752941176470586	492.3095930232558	0.0	994.4289053957593	395.2915556496094
8001	8001	0.09017680387739778	0.03125	0.09375	0.0078125	0.09068927444198366	866.0	0.0	755.5721485505952	417.3345648090169	0.0	254.0	469.7556818181818	0.0	786.983606557377	414.3375	0.0	62.752941176470586	492.3095930232558	0.0	760.0699824259831	416.90351721116406
8001	8001	0.07332482021641239	0.046875	0.0703125	0.0078125	0.07181403465666035	966.0	0.0	608.9992674503784	431.738368816531	0.0	384.048	455.28078358208955	0.0	583.0688259109311	434.36085766423355	0.0	62.752941176470586	492.3095930232558	0.0	595.9841027943868	433.0517975006622
8001	8001	0.7867531886328037	0.5859375	0.7578125	0.0078125	0.7839735913437457	109.0	0.0	10376.804131316856	59.68184877896056	0.0	6630.6629834254145	130.5581896551724	0.0	9762.22641509434	68.8975	0.0	62.752941176470586	492.3095930232558	0.0	10316.50737136982	60.553982695057186
8001	8001	0.7582296598040295	0.6328125	0.671875	0.0078125	0.7568392674016329	68.0	0.0	9770.881638443123	68.76250782717598	0.0	7406.64	112.45424641148325	0.0	8095.129411764706	98.14310747663552	0.0	62.752941176470586	492.3095930232558	0.0	9742.056388515015	69.2126855889389
8001	8001	0.7192378081601895	0.5703125	0.625	0.0078125	0.7193271182475803	93.0	0.0	8986.245440026898	81.66330619912335	0.0	6383.311475409836	136.8330223880597	0.0	7273.636363636363	115.39903846153847	0.0	62.752941176470586	492.3095930232558	0.0	8987.988041448221	81.63308857384555
8001	8001	0.7235052881502266	0.5625	0.65625	0.0078125	0.7210535182599244	93.0	0.0	9069.78424078458	80.22292579837196	0.0	6261.652173913044	140.0175	0.0	7814.930232558139	103.78655660377359	0.0	62.752941176470586	492.3095930232558	0.0	9021.721052390583	81.04958593395689
8001	8001	0.6703273716138479	0.5625	0.609375	0.0078125	0.6673698541498168	80.0	0.0	8067.082356642808	98.69737006887912	0.0	6261.652173913044	140.0175	0.0	7012.112359550562	121.3743932038835	0.0	62.752941176470586	492.3095930232558	0.0	8013.6656366063835	99.75942763702001
8001	8001	0.0	0.0	0.0	0.0078125	-0.0008390878212500473	208.0	0.0	0.0	500.0625	0.0	0.0	500.0625	0.0	0.0	500.0625	0.0	62.752941176470586	492.3095930232558	0.0	-6.710726213502883	500.90239745495325
8001	8001	0.0	0.0	0.0	0.0078125	-0.001313173645947719	229.0	0.0	0.0	500.0625	0.0	0.0	500.0625	0.0	0.0	500.0625	0.0	62.752941176470586	492.3095930232558	0.0	-10.49980830545059	501.3775647009615
8001	8001	0.0	0.0	0.0	0.0078125	-0.003244249113276214	168.0	0.0	0.0	500.0625	0.0	0.0	500.0625	0.0	0.0	500.0625	0.0	62.752941176470586	492.3095930232558	0.0	-25.915199473866256	503.31771537400607
8001	8001	0.0	0.0	0.0	0.0078125	-0.00204220862542061	207.0	0.0	0.0	500.0625	0.0	0.0	500.0625	0.0	0.0	500.0625	0.0	62.752941176470586	492.3095930232558	0.0	-16.323043681690365	502.1091435746601
8001	8001	0.0	0.0	0.0	0.0078125	-0.0037538799979004835	180.0	0.0	0.0	500.0625	0.0	0.0	500.0625	0.0	0.0	500.0625	0.0	62.752941176470586	492.3095930232558	0.0	-29.978525968701543	503.8309957135816
